zone,house_hold_size,income,total_males,total_females,total_tg,highest_ed_males,highest_ed_females,highest_ed_tg,age_lt_6,age_7_to_14,age_15_to_29,age_30_to_59,age_gt_60,no_males_working,no_of_females_working,primary_occu_males,primary_occu_females,no_youngage_workingmembers,no_middleage_workingmembers,no_oldage_workingmembers,Dwelling_Nature,House_typology,Building level,Floors_above,Road_type,Road_width,Road_material,Category,Duration_stay,Age_house,House_Ownership,Fam_Type,Source_waterSupply,Distance_watersupply_source,Qlty_drinking_water_normal days,Water_Quality_monsoons,Quantity_drinking water_normal days,Quantity_drinking_water_during_flooding,Drinking_water_treatment,Issues_with_drinking_water_solved_by,Toilet_Facility,Dist_community_toilets,Sewage_Disposal_System,Drains_Situation,Drainage_channel_connected_to_city_network,Cleaning_agent,Frequency_of_drain_cleaning,If_naturally_howMuchTime,Electricity_Source,PowerCut_Frequency,Proficiency_digital_services,television,computer_laptop,internet_connectivity,radio,mobile,bi-cycle,motorised,no_assets,Health_Infra_Distance,Dist_to_bank,Garbage_collection_Authority,Garbage_Disposal_System,Garbage_dispsl_during_flood,Frequency_GarbageCollection_Nrml_days,Flood_events_experienced,Depth_water_logging,Water_removal_process,Evacuated_before,Dist_to_evacuated_area,Medical_conditions_during_ waterLogging,Loss_working_days_during_floods,Income_loss_per_day,Experience _with_flood,Financial_loss_due_to floods,income_category
east,6.0,35000.0,2.0,4.0,0.0,Higher Secondary,Graduate,,0.0,1.0,0.0,3.0,2.0,2.0,0.0,Business / Trade Industry,0,0.0,1.0,1.0,Pucca,Individual House,Ground level,G only,Collector road,20-30 m,Cement roads,OBC,,,Owner,Joint,Municipal Corporation,1-2 kms,Satisfactory,Remains same,Just Adequate,Less / No Supply,Boiling,Only few people take initiative,Private,,Pit Latrine,Covered,Connected,Municipal corporation,Fortnightly,12 Hours - 1 Day,Municipal Corporation,Slightly Higher,Intermediate,No,No,No,No,Yes,Yes,Yes,No,1-3 km,1-3 km,Municipal corporation,Door-to-Door,Spills out into flooded roads,Monthly,,1 ft,Naturally,No,,Yes,4-6 Days,20-40%,25-40 years,,5.0
north,4.0,15000.0,2.0,2.0,0.0,Higher Secondary,Higher Secondary,,1.0,1.0,0.0,2.0,0.0,1.0,0.0,Light / Small scale industry,0,0.0,1.0,0.0,Kuccha,Squatter/Encroachment,Ground level,G only,Local roads,4-5 m,Gravel roads,SC,,,Owner,Nuclear,Municipal Corporation,< 1 km,Satisfactory,Worsens,Just Adequate,Less / No Supply,Boiling,Individually,Private,,Pit Latrine,Covered,Connected,Municipal corporation,Fortnightly,6-12 Hours,Municipal Corporation,Slightly Higher,Beginner,No,No,No,No,Yes,Yes,No,No,3-5 km,1-3 km,Municipal corporation,Door-to-Door,Others,Fortnightly,,,Naturally,No,,Yes,4-6 Days,40-60%,10-25 years,,7.0
west,3.0,25000.0,0.0,3.0,0.0,Illiterate,Graduate,,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0,Government (state/central/private/retired),0.0,1.0,0.0,Pucca,Squatter/Encroachment,Ground level,G only,Local roads,4-5 m,Bituminous roads,General,,,Owner,Joint,Municipal Corporation,< 1 km,Good,Remains same,Just Adequate,Remains same,,Collectively as a community,Private,,Pit Latrine,Absent,Connected,Municipal corporation,Monthly,<6 Hours,Municipal Corporation,Slightly Higher,Beginner,Yes,No,Yes,No,Yes,Yes,Yes,No,1-3 km,Not Available,Municipal corporation,Door-to-Door,Same as normal days,Weekly,1,,Naturally,No,,No,1-3 Days,Negligible/<20%,<10 years,<2000,6.0
east,1.0,2000.0,0.0,1.0,0.0,Illiterate,Illiterate,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,Informal Job / Hawker,0.0,0.0,1.0,Kuccha,Squatter/Encroachment,Ground level,G only,Local roads,< 3 m,Cement roads,OBC,10-25,10-25,Owner,Joint,Municipal Corporation,< 1 km,Good,Remains same,Just Adequate,Less / No Supply,Others,Collectively as a community,Private,,Pit Latrine,Covered,Connected,Municipal corporation,Only when drains overflow,6-12 Hours,Municipal Corporation,Unchanged,Beginner,No,No,No,No,No,No,No,Yes,3-5 km,Not Available,Municipal corporation,Door-to-Door,Same as normal days,Only when drains overflow and residents call,Every monsoon,,Naturally,Yes,1 - 3 km,Yes,4-6 Days,>80%/almost full,25-40 years,<2000,8.0
west,4.0,28000.0,2.0,2.0,0.0,Graduate,Graduate,,0.0,0.0,1.0,3.0,0.0,2.0,0.0,Business / Trade Industry,0,0.0,2.0,0.0,Pucca,Individual House,Ground level,G only,Collector road,20-30 m,Cement roads,SC,,,Owner,Nuclear,Municipal Corporation,< 1 km,Satisfactory,Worsens,Just Adequate,Less / No Supply,Boiling,Individually,Private,,Pit Latrine,Covered,Connected,Municipal corporation,Fortnightly,12 Hours - 1 Day,Municipal Corporation,Slightly Higher,Intermediate,No,No,No,No,Yes,Yes,Yes,No,3-5 km,1-3 km,Municipal corporation,Door-to-Door,Spills out into flooded roads,Fortnightly,,1 ft,Naturally,No,,Yes,> 7 Days,20-40%,10-25 years,,5.0
southwest,3.0,0.0,2.0,1.0,0.0,Secondary,Secondary,,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,Semi-Pucca,Squatter/Encroachment,Ground level,G only,Collector road,20-30 m,Cement roads,SC,25-40,25-40,Owner,Joint,Municipal Corporation,< 1 km,Satisfactory,Worsens,Just Adequate,Remains same,Boiling,Individually,Private,,Pit Latrine,Absent,Unaware,Municipal corporation,Weekly,<6 Hours,Municipal Corporation,Slightly Higher,Intermediate,Yes,No,No,No,Yes,Yes,Yes,No,<1 km,3 - 5 kms,Municipal corporation,Door-to-Door,Same as normal days,Daily,2,,Mechanically,No,,No,No loss,Negligible/<20%,,,8.0
central,5.0,20000.0,2.0,3.0,0.0,Graduate,Graduate,,0.0,1.0,0.0,2.0,2.0,1.0,0.0,Government (state/central/private/retired),0,0.0,1.0,0.0,Semi-Pucca,Squatter/Encroachment,Raised on Columns,G + 2,Sub-Arterial,30-40 m,Cement roads,OBC,25-40,40-60,Owner,Nuclear,Municipal Corporation,< 1 km,Good,Remains same,Ample,Remains same,Boiling,Individually,Private,,Pit Latrine,Covered,Connected,Municipal corporation,Weekly,6-12 Hours,Municipal Corporation,Unchanged,Beginner,Yes,Yes,Yes,No,Yes,Yes,Yes,No,<1 km,< 1 km,Municipal corporation,Door-to-Door,Same as normal days,Daily,>5 & more,1 ft,Naturally,No,,Yes,No loss,Negligible/<20%,25-40 years,2000-6000,6.0
south,5.0,8000.0,2.0,3.0,0.0,Secondary,Higher Secondary,,0.0,2.0,1.0,2.0,0.0,1.0,0.0,Informal Job / Hawker,0,0.0,1.0,0.0,Semi-Pucca,Squatter/Encroachment,Ground level,G only,Collector road,20-30 m,Cement roads,General,40-60,40-60,Owner,Nuclear,Municipal Corporation,< 1 km,Good,Remains same,Just Adequate,Remains same,Boiling,Individually,Private,,Pit Latrine,Covered,Connected,Municipal corporation,Weekly,<6 Hours,Municipal Corporation,Unchanged,Beginner,Yes,No,No,No,Yes,Yes,No,No,<1 km,< 1 km,Municipal corporation,Door-to-Door,Same as normal days,Daily,>5 & more,> 2 ft,Naturally,No,,No,No loss,Negligible/<20%,25-40 years,<2000,7.0
south,6.0,10000.0,2.0,4.0,0.0,Secondary,Higher Secondary,,1.0,1.0,2.0,0.0,2.0,1.0,0.0,Informal Job / Hawker,0,0.0,0.0,1.0,Semi-Pucca,Squatter/Encroachment,Ground level,G only,Sub-Arterial,30-40 m,Cement roads,General,40-60,40-60,Owner,Nuclear,Municipal Corporation,< 1 km,Good,Remains same,Just Adequate,Remains same,Boiling,Individually,Private,,Pit Latrine,Covered,Connected,None,Weekly,<6 Hours,Municipal Corporation,Unchanged,Beginner,Yes,No,No,No,Yes,Yes,No,No,1-3 km,1-3 km,Municipal corporation,Door-to-Door,Same as normal days,Daily,>5 & more,,Naturally,No,,No,No loss,Negligible/<20%,40 - 50 Years,<2000,7.0
south,5.0,15000.0,3.0,2.0,0.0,Higher Secondary,Graduate,,0.0,0.0,3.0,2.0,0.0,1.0,1.0,Informal Job / Hawker,Informal Job / Hawker,0.0,2.0,0.0,Semi-Pucca,Squatter/Encroachment,Ground level,G only,Collector road,20-30 m,Cement roads,General,25-40,25-40,Owner,Nuclear,Municipal Corporation,< 1 km,Good,Remains same,Ample,Remains same,Boiling,City administration,Private,,Pit Latrine,Covered,Connected,Municipal corporation,Weekly,<6 Hours,Municipal Corporation,Unchanged,Beginner,Yes,No,No,No,Yes,Yes,No,No,<1 km,< 1 km,Municipal corporation,Door-to-Door,Same as normal days,Daily,Every monsoon,,Naturally,No,,No,No loss,Negligible/<20%,,,7.0
south,5.0,10000.0,2.0,3.0,0.0,Graduate,Graduate,,0.0,0.0,3.0,2.0,0.0,1.0,0.0,Informal Job / Hawker,0,0.0,1.0,0.0,Semi-Pucca,Squatter/Encroachment,Ground level,G + 1,Collector road,20-30 m,Cement roads,General,25-40,25-40,Owner,Nuclear,Municipal Corporation,< 1 km,Good,Remains same,Just Adequate,Remains same,No Treatment,Individually,Private,,Pit Latrine,Covered,Connected,None,Weekly,<6 Hours,Municipal Corporation,Unchanged,Intermediate,Yes,No,No,No,Yes,Yes,Yes,No,<1 km,< 1 km,Municipal corporation,Door-to-Door,Same as normal days,Daily,>5 & more,,Naturally,No,,No,No loss,Negligible/<20%,25-40 years,<2000,7.0
south,4.0,10000.0,2.0,2.0,0.0,Secondary,Graduate,,0.0,0.0,2.0,2.0,0.0,1.0,0.0,Informal Job / Hawker,0,0.0,1.0,0.0,Kuccha,Squatter/Encroachment,Ground level,G only,Local roads,< 3 m,Cement roads,General,10-25,10-25,Tenant,Nuclear,Municipal Corporation,< 1 km,Good,Remains same,Just Adequate,Remains same,No Treatment,Individually,Private,,Pit Latrine,Covered,Connected,None,Weekly,<6 Hours,Municipal Corporation,Unchanged,Beginner,Yes,No,No,No,Yes,Yes,Yes,No,<1 km,< 1 km,Municipal corporation,Door-to-Door,Same as normal days,Daily,Every monsoon,,Naturally,No,,No,No loss,Negligible/<20%,40 - 50 Years,<2000,7.0
southwest,5.0,15000.0,3.0,2.0,0.0,Higher Secondary,Secondary,,0.0,1.0,2.0,2.0,0.0,1.0,1.0,Informal Job / Hawker,Informal Job / Hawker,0.0,2.0,0.0,Semi-Pucca,Squatter/Encroachment,Ground level,G only,Sub-Arterial,30-40 m,Cement roads,General,25-40,25-40,Owner,Nuclear,Municipal Corporation,< 1 km,Good,Remains same,Ample,Remains same,No Treatment,Individually,Private,,Pit Latrine,Covered,Connected,Municipal corporation,Weekly,<6 Hours,Municipal Corporation,Unchanged,Beginner,Yes,No,No,No,Yes,Yes,No,No,<1 km,< 1 km,Municipal corporation,Door-to-Door,Same as normal days,Daily,Every monsoon,1-1/2 ft,Naturally,No,,No,No loss,Negligible/<20%,40 - 50 Years,<2000,7.0
central,4.0,0.0,2.0,2.0,0.0,Secondary,Secondary,,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,Semi-Pucca,Squatter/Encroachment,Ground level,G only,Collector road,20-30 m,Cement roads,General,25-40,25-40,Owner,Nuclear,Municipal Corporation,< 1 km,Good,Remains same,Ample,Remains same,No Treatment,Individually,Private,,Pit Latrine,Covered,Connected,Municipal corporation,Weekly,<6 Hours,Municipal Corporation,Unchanged,Beginner,Yes,No,No,No,Yes,Yes,No,No,<1 km,< 1 km,Municipal corporation,Door-to-Door,Same as normal days,Daily,Every monsoon,1-1/2 ft,Manually,No,,No,No loss,Negligible/<20%,40 - 50 Years,<2000,8.0
central,4.0,10000.0,3.0,1.0,0.0,Secondary,Primary,,2.0,0.0,1.0,1.0,0.0,1.0,0.0,Informal Job / Hawker,0,0.0,1.0,0.0,Semi-Pucca,Squatter/Encroachment,Ground level,G only,Collector road,20-30 m,Earthen roads,OBC,10-25,10-25,Tenant,Nuclear,Municipal Corporation,,Bad,Worsens,Inadequate,Less / No Supply,No Treatment,,Private,,Pit Latrine,Covered,Unaware,,,6-12 Hours,Municipal Corporation,Unchanged,Intermediate,Yes,No,No,Yes,No,No,No,No,1-3 km,Not Available,Municipal corporation,Door-to-Door,Same as normal days,Only when drains overflow and residents call,Every monsoon,> 2 ft,Naturally,No,,No,4-6 Days,,<10 years,No loss but a lot of inconvenience,7.0
west,3.0,10000.0,1.0,2.0,0.0,Primary,Higher Secondary,,0.0,0.0,1.0,2.0,0.0,1.0,0.0,Administrative / Clerks,0,0.0,1.0,0.0,Pucca,Squatter/Encroachment,Ground level,G only,Sub-Arterial,30-40 m,Cement roads,OBC,40-60,25-40,Owner,Nuclear,Municipal Corporation,< 1 km,Good,Remains same,Just Adequate,Remains same,,,Private,,Pit Latrine,Absent,Not Connected,None,Weekly,<6 Hours,Municipal Corporation,Unchanged,Beginner,Yes,No,No,No,Yes,Yes,No,No,<1 km,3 - 5 kms,Municipal corporation,Door-to-Door,Same as normal days,Daily,>5 & more,1-1/2 ft,Naturally,No,,No,No loss,Negligible/<20%,25-40 years,2000-6000,7.0
west,4.0,16000.0,3.0,1.0,0.0,Graduate,Secondary,,0.0,0.0,0.0,3.0,1.0,1.0,0.0,Business / Trade Industry,0,0.0,0.0,1.0,Pucca,Individual House,Ground level,G only,Collector road,20-30 m,Cement roads,OBC,25-40,25-40,Owner,Nuclear,Municipal Corporation,< 1 km,Good,Remains same,Just Adequate,Remains same,Filter,Individually,Private,,Pit Latrine,Absent,Unaware,None,Weekly,<6 Hours,Municipal Corporation,Unchanged,Beginner,Yes,No,No,No,Yes,Yes,Yes,No,<1 km,< 1 km,Municipal corporation,Door-to-Door,Same as normal days,Daily,3,1 ft,Naturally,No,,No,No loss,Negligible/<20%,<10 years,No loss but a lot of inconvenience,6.0
southwest,5.0,9000.0,3.0,2.0,0.0,Graduate,Graduate,,0.0,0.0,3.0,2.0,0.0,1.0,0.0,Retail / Livestock Related,0,0.0,1.0,0.0,Pucca,Squatter/Encroachment,Ground level,G only,Collector road,20-30 m,Bituminous roads,SC,10-25,10-25,Owner,Nuclear,Municipal Corporation,< 1 km,Good,Remains same,Just Adequate,Remains same,No Treatment,,Private,,Pit Latrine,Absent,Unaware,None,Fortnightly,<6 Hours,Municipal Corporation,Slightly Higher,Intermediate,Yes,No,No,No,Yes,Yes,Yes,No,<1 km,Not Available,Municipal corporation,Door-to-Door,Same as normal days,Daily,2,> 2 ft,Naturally,No,,No,No loss,Negligible/<20%,,,7.0
central,4.0,26000.0,2.0,2.0,0.0,Higher Secondary,Higher Secondary,,0.0,0.0,1.0,3.0,0.0,2.0,1.0,Government (state/central/private/retired),Government (state/central/private/retired),1.0,2.0,0.0,Semi-Pucca,Individual House,Ground level,G only,Sub-Arterial,30-40 m,Cement roads,ST,25-40,25-40,Owner,Joint,Municipal Corporation,,Satisfactory,Worsens,Just Adequate,Less / No Supply,Filter,Individually,Private,,Pit Latrine,Covered,Connected,Municipal corporation,Only when drains overflow,12 Hours - 1 Day,Municipal Corporation,High,Beginner,Yes,No,No,No,Yes,Yes,No,No,3-5 km,3 - 5 kms,Municipal corporation,Door-to-Door,Remains dumped- no pick up,Only when drains overflow and residents call,4,1-1/2 ft,Manually,No,,Yes,1-3 Days,20-40%,<10 years,6000-10000,5.0
west,5.0,50000.0,3.0,2.0,0.0,Secondary,Secondary,,1.0,2.0,0.0,2.0,0.0,1.0,0.0,Informal Job / Hawker,0,0.0,1.0,0.0,Semi-Pucca,Individual House,Ground level,G only,Sub-Arterial,30-40 m,Cement roads,OBC,10-25,10-25,Owner,Nuclear,Municipal Corporation,< 1 km,Good,Remains same,Just Adequate,Remains same,No Treatment,,Private,,Pit Latrine,Absent,Unaware,None,Weekly,<6 Hours,Municipal Corporation,Unchanged,Beginner,Yes,No,No,No,Yes,Yes,No,No,<1 km,1-3 km,Municipal corporation,Door-to-Door,Same as normal days,Daily,>5 & more,1-1/2 ft,Naturally,No,,No,No loss,Negligible/<20%,<10 years,No loss but a lot of inconvenience,4.0
central,5.0,35000.0,2.0,3.0,0.0,Graduate,Primary,,0.0,1.0,0.0,2.0,2.0,1.0,0.0,Government (state/central/private/retired),0,0.0,1.0,0.0,Pucca,Individual House,Raised on Columns,G + 1,Collector road,20-30 m,Cement roads,OBC,25-40,10-25,Owner,Nuclear,Municipal Corporation,< 1 km,Good,Worsens,Ample,Less / No Supply,Boiling,Individually,Private,,Pit Latrine,Covered,Connected,Municipal corporation,Weekly,<6 Hours,Municipal Corporation,Slightly Higher,Intermediate,Yes,Yes,Yes,No,Yes,Yes,Yes,No,<1 km,< 1 km,Municipal corporation,Door-to-Door,Same as normal days,Daily,Every monsoon,> 2 ft,Naturally,No,,Yes,No loss,Negligible/<20%,10-25 years,2000-6000,5.0
southwest,2.0,8000.0,1.0,1.0,0.0,Secondary,Illiterate,,0.0,0.0,0.0,0.0,2.0,1.0,0.0,Informal Job / Hawker,0,0.0,0.0,1.0,Semi-Pucca,Squatter/Encroachment,Ground level,G only,Sub-Arterial,30-40 m,Cement roads,General,,10-25,Owner,Joint,Municipal Corporation,< 1 km,Satisfactory,Worsens,Just Adequate,Less / No Supply,No Treatment,,Private,,Pit Latrine,Covered,Connected,Municipal corporation,Only when drains overflow,2 - 3 Days,Municipal Corporation,High,No Knowledge,No,No,Yes,No,Yes,Yes,No,No,3-5 km,Not Available,Municipal corporation,Door-to-Door,Spills out into flooded roads,Only when drains overflow and residents call,1,> 2 ft,Naturally,No,,No,> 7 Days,>80%/almost full,10-25 years,<2000,7.0
west,3.0,6000.0,1.0,2.0,0.0,Secondary,Secondary,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0,Informal Job / Hawker,0.0,1.0,0.0,Kuccha,Squatter/Encroachment,Ground level,G only,Local roads,4-5 m,Cement roads,SC,<10,<10,Owner,Joint,Municipal Corporation,< 1 km,Satisfactory,Worsens,Just Adequate,Less / No Supply,Others,Individually,Private,,Pit Latrine,Covered,Connected,Municipal corporation,Yearly (Before monsoons),12 Hours - 1 Day,Municipal Corporation,Slightly Higher,Beginner,Yes,No,Yes,No,Yes,Yes,Yes,No,3-5 km,< 1 km,Municipal corporation,Door-to-Door,Spills out into flooded roads,Only when drains overflow and residents call,Every monsoon,1 ft,Naturally,No,,Yes,4-6 Days,40-60%,10-25 years,<2000,7.0
west,7.0,17000.0,0.0,0.0,7.0,Illiterate,Illiterate,Primary,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0,0,1.0,5.0,1.0,Kuccha,Individual House,Ground level,G only,Local roads,4-5 m,Cement roads,General,25-40,25-40,Owner,Multi-family,Community Tap,< 1 km,Poor,Worsens,Just Adequate,Less / No Supply,No Treatment,Individually,Private,,Pit Latrine,Absent,Unaware,,,<6 Hours,Municipal Corporation,Slightly Higher,No Knowledge,Yes,No,No,Yes,Yes,No,No,No,Not Available,Not Available,None,Put in pits and burnt,Spills out into flooded roads,Never,Every monsoon,1 ft,Naturally,No,,Yes,1-3 Days,60-80%,25-40 years,6000-10000,6.0
south,13.0,26000.0,0.0,0.0,13.0,Illiterate,Illiterate,Primary,0.0,0.0,5.0,6.0,2.0,0.0,0.0,0,0,5.0,6.0,2.0,Semi-Pucca,Individual House,Ground level,G only,Sub-Arterial,30-40 m,Bituminous roads,General,40-60,25-40,Owner,Multi-family,Municipal Corporation,,Bad,Worsens,Just Adequate,Less / No Supply,Chemicals,Individually,Private,,Pit Latrine,Open,Unaware,Residents,,<6 Hours,Municipal Corporation,High,Beginner,Yes,No,Yes,Yes,Yes,No,No,No,3-5 km,Not Available,Residents,Road side dumping picked by NMC,Spills out into flooded roads,Fortnightly,Every monsoon,1 ft,Manually,Yes,3 - 5 km,Yes,> 7 Days,60-80%,10-25 years,2000-6000,5.0
west,3.0,38000.0,1.0,2.0,0.0,Graduate,Graduate,,1.0,0.0,1.0,1.0,0.0,1.0,1.0,Government (state/central/private/retired),Government (state/central/private/retired),1.0,1.0,0.0,Pucca,Individual House,Ground level,G + 1,Local roads,5-10 m,Bituminous roads,ST,<10,<10,Owner,Nuclear,Municipal Corporation,< 1 km,Good,Worsens,Just Adequate,Less / No Supply,Boiling,Individually,Community,<1 km,Septic Tank,Covered,Not Connected,Contractors,Monthly,<6 Hours,Municipal Corporation,Slightly Higher,Intermediate,Yes,Yes,No,No,Yes,Yes,Yes,No,3-5 km,1-3 km,Municipal corporation,Door-to-Door,Spills out into flooded roads,Only when drains overflow and residents call,3,1 ft,Manually,No,,No,4-6 Days,Negligible/<20%,<10 years,No loss but a lot of inconvenience,4.0
east,4.0,20000.0,2.0,2.0,0.0,Higher Secondary,Secondary,,0.0,0.0,3.0,1.0,0.0,1.0,0.0,Retail / Livestock Related,0,1.0,0.0,0.0,Semi-Pucca,Squatter/Encroachment,Ground level,G only,Sub-Arterial,30-40 m,Bituminous roads,SC,25-40,10-25,Owner,Nuclear,Hand pump,< 1 km,Poor,Worsens,Just Adequate,Less / No Supply,Chemicals,Only few people take initiative,Community,1-2 km,Septic Tank,Absent,Not Connected,Municipal corporation,Only when drains overflow,6-12 Hours,Municipal Corporation,High,Intermediate,Yes,No,No,No,Yes,No,Yes,No,3-5 km,1-3 km,None,Roadside dumping and no cleaning,Spills out into flooded roads,Never,2,1 ft,Manually,No,,Yes,1-3 Days,20-40%,<10 years,No loss but a lot of inconvenience,6.0
north,3.0,20000.0,2.0,1.0,0.0,Secondary,Higher Secondary,,1.0,0.0,1.0,1.0,0.0,1.0,0.0,Retail / Livestock Related,0,0.0,1.0,0.0,Pucca,Individual House,Ground level,G + 1,Sub-Arterial,30-40 m,Bituminous roads,SC,<10,<10,Owner,Nuclear,Well,< 1 km,Satisfactory,Worsens,Ample,Remains same,Chemicals,Individually,Community,1-2 km,Septic Tank,Open,Not Connected,Contractors,Monthly,,Municipal Corporation,Slightly Higher,No Knowledge,Yes,No,No,No,No,Yes,Yes,No,> 5 kms,Not Available,Municipal corporation,Dumped in the water bodies,Spills out into flooded roads,Never,Every monsoon,1-1/2 ft,Manually,Yes,3 - 5 km,Yes,4-6 Days,40-60%,<10 years,6000-10000,6.0
east,3.0,12000.0,2.0,1.0,0.0,Secondary,Secondary,,1.0,0.0,1.0,1.0,0.0,1.0,0.0,Informal Job / Hawker,0,0.0,1.0,0.0,Semi-Pucca,Squatter/Encroachment,Ground level,G only,Sub-Arterial,30-40 m,Bituminous roads,SC,25-40,10-25,Owner,Nuclear,Community Tap,< 1 km,Satisfactory,Worsens,Inadequate,Remains same,No Treatment,Only few people take initiative,Community,1-2 km,Septic Tank,Open,Not Connected,None,Never,6-12 Hours,Illegal hooking,High,Beginner,Yes,No,No,No,Yes,No,Yes,No,> 5 kms,3 - 5 kms,Residents,Community Bin,Spills out into flooded roads,Never,Every monsoon,1-1/2 ft,Naturally,Yes,1 - 3 km,Yes,4-6 Days,40-60%,40 - 50 Years,<2000,7.0
north,5.0,15000.0,3.0,2.0,0.0,Secondary,Secondary,,1.0,0.0,1.0,2.0,1.0,1.0,0.0,Informal Job / Hawker,0,0.0,1.0,0.0,Kuccha,Squatter/Encroachment,Ground level,G only,Local roads,4-5 m,Bituminous roads,SC,40-60,25-40,Owner,Joint,Hand pump,< 1 km,Poor,Worsens,Inadequate,Less / No Supply,No Treatment,Individually,Community,1-2 km,Septic Tank,Absent,Not Connected,None,,6-12 Hours,Municipal Corporation,High,Beginner,Yes,No,No,No,No,No,Yes,No,3-5 km,Not Available,Residents,Community Bin,Spills out into flooded roads,Never,Every monsoon,1-1/2 ft,Naturally,No,,Yes,4-6 Days,40-60%,10-25 years,<2000,7.0
west,6.0,10000.0,4.0,2.0,0.0,Secondary,Primary,,1.0,2.0,1.0,2.0,0.0,1.0,1.0,Informal Job / Hawker,Informal Job / Hawker,0.0,2.0,0.0,Kuccha,Squatter/Encroachment,Ground level,G only,Local roads,4-5 m,Cement roads,General,25-40,25-40,Owner,Joint,Municipal Corporation,< 1 km,Satisfactory,Worsens,Just Adequate,Less / No Supply,Chemicals,Individually,Private,,Septic Tank,Covered,Connected,Municipal corporation,Only when drains overflow,12 Hours - 1 Day,Municipal Corporation,High,Intermediate,Yes,No,Yes,No,Yes,Yes,Yes,No,3-5 km,< 1 km,Municipal corporation,Door-to-Door,Same as normal days,Only when drains overflow and residents call,>5 & more,,Naturally,No,,Yes,4-6 Days,>80%/almost full,10-25 years,No loss but a lot of inconvenience,7.0
east,4.0,10000.0,3.0,1.0,0.0,Higher Secondary,Higher Secondary,,0.0,0.0,3.0,1.0,0.0,1.0,0.0,Informal Job / Hawker,0,0.0,1.0,0.0,Semi-Pucca,Squatter/Encroachment,Ground level,G only,Collector road,20-30 m,Cement roads,SC,25-40,10-25,Owner,Multi-family,Municipal Corporation,< 1 km,Good,Worsens,Just Adequate,Remains same,Chemicals,Individually,Private,,Septic Tank,Covered,Connected,Municipal corporation,Only when drains overflow,12 Hours - 1 Day,Municipal Corporation,Slightly Higher,Beginner,Yes,No,Yes,No,Yes,Yes,Yes,No,3-5 km,< 1 km,Municipal corporation,Door-to-Door,Same as normal days,Only when drains overflow and residents call,Every monsoon,1-1/2 ft,Naturally,No,,No,1-3 Days,20-40%,10-25 years,<2000,7.0
east,3.0,5000.0,1.0,2.0,0.0,Primary,Secondary,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0,Informal Job / Hawker,0.0,1.0,0.0,Kuccha,Squatter/Encroachment,Ground level,G only,Local roads,< 3 m,Cement roads,General,10-25,10-25,Owner,Multi-family,Municipal Corporation,< 1 km,Good,Worsens,Just Adequate,Less / No Supply,No Treatment,Individually,Private,,Septic Tank,Covered,Connected,Municipal corporation,Only when drains overflow,12 Hours - 1 Day,Municipal Corporation,Slightly Higher,No Knowledge,Yes,No,No,No,Yes,Yes,Yes,No,3-5 km,< 1 km,Municipal corporation,Door-to-Door,Spills out into flooded roads,Only when drains overflow and residents call,Every monsoon,1-1/2 ft,Naturally,No,,Yes,4-6 Days,>80%/almost full,10-25 years,No loss but a lot of inconvenience,8.0
